subject,feature,standardized_beta
anm106211,distance_to_pole_at_touch,0.00811828575561141
anm106211,log_abs_curvature,0.19898241092090363
anm106211,log_amplitude,0.10261219104443503
anm106211,log_touch_duration,-0.0546143125162695
anm106211,signed_log_curvature,-0.291423869282997
anm106211,signed_log_pretouch_acceleration,0.029027718293630697
anm106211,signed_log_pretouch_velocity,0.12783428001131317
anm106211,theta_at_touch_deg,0.6354793776609439
anm106213,distance_to_pole_at_touch,-0.05789648965463559
anm106213,log_abs_curvature,-0.0033925304506743793
anm106213,log_amplitude,0.026478792870149426
anm106213,log_touch_duration,0.004800786303213629
anm106213,signed_log_curvature,-0.04663010561620957
anm106213,signed_log_pretouch_acceleration,0.02813684851831644
anm106213,signed_log_pretouch_velocity,-0.0036663772012208297
anm106213,theta_at_touch_deg,0.6170278056312897
anm131970,distance_to_pole_at_touch,-0.01668240435027593
anm131970,log_abs_curvature,-0.09069652241165954
anm131970,log_amplitude,0.03150050562624934
anm131970,log_touch_duration,0.05446712232972985
anm131970,signed_log_curvature,0.0928071291874031
anm131970,signed_log_pretouch_acceleration,-0.01437930305372112
anm131970,signed_log_pretouch_velocity,0.0364551009772698
anm131970,theta_at_touch_deg,0.2947322071185997
anm134333,distance_to_pole_at_touch,-0.07673596398065499
anm134333,log_abs_curvature,-0.10556230143754498
anm134333,log_amplitude,0.21798287078598036
anm134333,log_touch_duration,0.10270259132017667
anm134333,signed_log_curvature,0.05089777148059679
anm134333,signed_log_pretouch_acceleration,-0.005226870311719839
anm134333,signed_log_pretouch_velocity,0.06622042729691784
anm134333,theta_at_touch_deg,-0.07065763216683518
anm17702,distance_to_pole_at_touch,0.025200268324281155
anm17702,log_abs_curvature,-0.09069719445663049
anm17702,log_amplitude,0.11958894201593478
anm17702,log_touch_duration,0.27494437547052664
anm17702,signed_log_curvature,-0.09039894145698817
anm17702,signed_log_pretouch_acceleration,0.11553308687428636
anm17702,signed_log_pretouch_velocity,-0.27738349577633237
anm17702,theta_at_touch_deg,-0.06810732393200192
anm211295,distance_to_pole_at_touch,-0.028215243695389896
anm211295,log_abs_curvature,-0.15168212343118154
anm211295,log_amplitude,0.16476641118775598
anm211295,log_touch_duration,0.1206578236736235
anm211295,signed_log_curvature,0.19553161445654657
anm211295,signed_log_pretouch_acceleration,-0.02504670300189885
anm211295,signed_log_pretouch_velocity,0.12527878071252005
anm211295,theta_at_touch_deg,-0.31871591802922805
anm215592,distance_to_pole_at_touch,0.03656739287821448
