merge_a,merge_b,endpoint,base_model,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon,q_sign
anm106211,anm106213,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm106213,count,continuous_kinematics,19,0.0079079365151952,14,19,0.0033416748046875,0.063568115234375,0.006683349609375,0.12713623046875
anm106211,anm106213,any_spike,context,19,0.015291803426662,12,19,0.104156494140625,0.359283447265625,0.13887532552083334,0.4790445963541667
anm106211,anm106213,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm106211,anm131970,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm131970,count,continuous_kinematics,19,0.008923943531095,14,19,0.002838134765625,0.063568115234375,0.00567626953125,0.12713623046875
anm106211,anm131970,any_spike,context,19,0.015291803426662,12,19,0.05457305908203125,0.359283447265625,0.07276407877604167,0.4790445963541667
anm106211,anm131970,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.3320655822753906,0.6476058959960938,0.3320655822753906,0.6476058959960938
anm106211,anm134333,count,context,19,0.0158275950408049,15,19,0.00026702880859375,0.0192108154296875,0.001068115234375,0.038421630859375
anm106211,anm134333,count,continuous_kinematics,19,0.008923943531095,15,19,0.00141143798828125,0.0192108154296875,0.0028228759765625,0.038421630859375
anm106211,anm134333,any_spike,context,19,0.015291803426662,12,19,0.12318801879882812,0.359283447265625,0.16425069173177084,0.4790445963541667
anm106211,anm134333,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.4413337707519531,0.6476058959960938,0.4413337707519531,0.6476058959960938
anm106211,anm17702,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm106211,anm17702,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm106211,anm17702,any_spike,context,19,0.0052476485641984,11,19,0.1956329345703125,0.6476058959960938,0.2608439127604167,0.6476058959960938
