response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high,q_primary,q_sign_primary
50,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01523287829148684,0.03393180874903194,15,20,0.0003948211669921875,0.04138946533203125,0.006671206090499482,0.03936929832019853,0.00157928466796875,0.0827789306640625
50,50,count,continuous_kinematics,two_harmonics,1.0,12773,35,20,12296,0.008415940023145163,0.016722216893263114,15,20,0.0019855499267578125,0.04138946533203125,0.0021393472664958946,0.025959805888270432,0.003971099853515625,0.0827789306640625
50,50,any_spike,context,two_harmonics,1.0,12773,35,20,12296,0.010269725995430246,0.03742280290985331,12,20,0.13272666931152344,0.5034446716308594,-0.0023207576899332283,0.05362529821099454,0.1769688924153646,0.5034446716308594
50,50,any_spike,continuous_kinematics,two_harmonics,1.0,12773,35,20,12296,0.009711663105966495,0.008209708921206312,12,20,0.34881019592285156,0.5034446716308594,-0.012832992145659028,0.038977042660017,0.34881019592285156,0.5034446716308594
10,50,count,context,two_harmonics,1.0,12773,33,20,11845,0.0028016687318122013,0.00704948957164267,16,20,0.006389617919921875,0.01181793212890625,0.0013276758760267793,0.0060200453717669244,,
10,50,count,continuous_kinematics,two_harmonics,1.0,12773,33,20,11845,0.0023055072417787204,0.004933390913219321,16,20,0.0072956085205078125,0.01181793212890625,0.001287056088503713,0.005778450776371513,,
20,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.004156115382010217,0.01659142872505899,13,20,0.017181396484375,0.26317596435546875,-0.0002933677510614796,0.02082636887810535,,
20,50,count,continuous_kinematics,two_harmonics,1.0,12773,35,20,12296,0.0028043639019751376,0.010821180413845947,13,20,0.029575347900390625,0.26317596435546875,-0.00015185433027997686,0.015948491066524628,,
30,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.01265250423695008,0.028051892600156263,15,20,0.0005855560302734375,0.04138946533203125,0.0036305244282698323,0.03398698120976573,,
30,50,count,continuous_kinematics,two_harmonics,1.0,12773,35,20,12296,0.007348948947523748,0.014381652544743214,14,20,0.0031528472900390625,0.11531829833984375,0.001473220759747318,0.023224043057520793,,
40,50,count,context,two_harmonics,1.0,12773,35,20,12296,0.012121163414698544,0.03169575677925944,15,20,0.0004825592041015625,0.04138946533203125,0.004598777690871969,0.036324382127918275,,
40,50,count,continuous_kinematics,two_harmonics,1.0,12773,35,20,12296,0.007712283583719115,0.01606097620464699,14,20,0.00485992431640625,0.11531829833984375,-0.00037111471868686574,0.02895492322796739,,
50,0,count,context,two_harmonics,1.0,19675,40,21,19591,0.012370865051338775,0.028944776113505554,17,21,0.00016117095947265625,0.007197380065917969,0.005223271967505827,0.03291296257429499,,
50,0,count,continuous_kinematics,two_harmonics,1.0,19675,40,21,19591,0.009609633368838244,0.014245456964967217,18,21,8.392333984375e-05,0.0014896392822265625,0.0044329062751050086,0.014971228505782253,,
50,20,count,context,two_harmonics,1.0,19160,39,21,18819,0.012370865051338775,0.030433943222179943,18,21,1.811981201171875e-05,0.0014896392822265625,0.0070208886129629056,0.03327118045246191,,
50,20,count,continuous_kinematics,two_harmonics,1.0,19160,39,21,18819,0.008161844828648235,0.017472371459869202,17,21,0.00019741058349609375,0.007197380065917969,0.0015027633483145064,0.021522018679981603,,
50,30,count,context,two_harmonics,1.0,18157,38,21,17752,0.013388878123962611,0.030353539198823463,18,21,0.00029277801513671875,0.0014896392822265625,0.006015540559072163,0.03501670711415095,,
50,30,count,continuous_kinematics,two_harmonics,1.0,18157,38,21,17752,0.010469914155508131,0.018540357613827177,17,21,0.00019741058349609375,0.007197380065917969,0.002949186403926052,0.023921634049164642,,
50,100,count,context,two_harmonics,1.0,6251,24,17,5104,0.008571124410028164,0.026081771504875284,14,17,0.0055694580078125,0.012725830078125,0.0019820130265373326,0.03390739927316222,,
50,100,count,continuous_kinematics,two_harmonics,1.0,6251,24,17,5104,0.00833313795091939,0.013019019521386024,13,17,0.0149993896484375,0.049041748046875,0.0009701849784232719,0.024238955890454106,,
50,250,count,context,two_harmonics,1.0,1014,0,0,0,,,0,0,,,,,,
